Year,Make,Model,Location,Price,Mileage,URL
2021,MG,"['excite', 'mg3', 'nav']","Brisbane, QLD",13250,26K km,/marketplace/item/1080769493117844/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2020,MG,"['mg3', 'with', '41,413', 'km']","Gold Coast, QLD",12999,,/marketplace/item/1596836144461384/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2020,MG,['mg3'],"Brisbane, QLD",10200,56K km,/marketplace/item/925426902566651/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2021,MG,['m3'],"Brisbane, QLD",14499,46K km,/marketplace/item/1011907299877332/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2021,MG,['mg3'],"Brisbane, QLD",13400,33K km,/marketplace/item/1373191610254728/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2021,MG,['mg3'],"Brisbane, QLD",13495,26K km,/marketplace/item/694339219514722/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2019,MG,"['zs', 'essence']","Brisbane, QLD",18000,52K km,/marketplace/item/342220485342693/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,MG,"['zs', 'my22', 'excite', '5dr', 'auto', '4spd', '2wd1.5i']","Brisbane, QLD",19900,5.5K km,/marketplace/item/781582537141042/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,MG,['mg3'],"Caboolture, QLD",15000,30K km,/marketplace/item/894498335646184/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,MG,['suv'],"Brisbane, QLD",20600,38K km,/marketplace/item/645570930836748/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2021,MG,['zs'],"Gold Coast, QLD",18500,36K km,/marketplace/item/1174761006835004/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2021,MG,"['zst', 'essence']","Brisbane, QLD",17786,48K km,/marketplace/item/730170969039323/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2021,MG,['excite'],"Brisbane, QLD",19500,27K km,/marketplace/item/191929157254721/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2023,MG,"['zst', 'vibe']","Gold Coast, QLD",24000,12K km,/marketplace/item/392342456617030/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,MG,"['zs', 'excite', '1.5l', '4spd']","Brisbane, QLD",20500,12K km,/marketplace/item/925141572045599/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2017,MG,['mg3'],"Gold Coast, QLD",9000,166K km,/marketplace/item/867161928522420/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2020,MG,['mg3'],"Brisbane, QLD",11500,71K km,/marketplace/item/161702176970922/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2019,MG,['zs'],"Gold Coast, QLD",16000,65K km,/marketplace/item/389190983666659/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2019,MG,['zs'],"Gold Coast, QLD",17995,73K km,/marketplace/item/399826569226007/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2021,MG,['hs'],"Gatton, QLD",20000,32K km,/marketplace/item/3560678274262017/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,MG,['zst'],"Sunshine Coast, QLD",23500,13K km,/marketplace/item/1592599904812943/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2023,MG,"['3', 'excite']","Gold Coast, QLD",18600,7.2K km,/marketplace/item/752920213066014/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2022,MG,['zst'],"Brisbane, QLD",22880,30K km,/marketplace/item/348378747715146/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2020,MG,"['mg3', 'excite']","Brisbane, QLD",17000,34K km,/marketplace/item/290824980289877/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
2018,MG,['zs'],"Brisbane, QLD",18500,32K km,/marketplace/item/3772600919634754/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
