Year,Make,Model,Price,Mileage,Location,Additional,Fuel Type,Car Type,Scraping Time,Source,Car Build,MSRP,Retention Rate,Age,Fuel Type Adjusted
2019,Toyota,Corolla,24710,24456,NSW,Drive Away,Petrol,1.8L Sedan FWD,1719638523,Drive,OTHER,23490,1.051936994,5,Conventional
2020,Toyota,RAV4,45667,51841,SA,*Excl. Govt. Charges,Hybrid,2.5L SUV FWD Hybrid,1712977879,Drive,SUV,43415,1.051871473,4,Hybrid
2019,Toyota,Corolla,24545,67000,WA,Drive Away,Petrol,2.0L Hatchback FWD,1718428175,Drive,OTHER,23335,1.051853439,5,Conventional
2021,Toyota,Corolla,24545,51609,WA,Drive Away,Petrol,2.0L Hatchback FWD,1720826973,Drive,OTHER,23335,1.051853439,3,Conventional
2020,Hyundai,Kona,27977,60056,WA,*Excl. Govt. Charges,Petrol,2.0L SUV FWD,1712378473,Drive,SUV,26600,1.051766917,4,Conventional
2023,Lexus,RX,103450,8603,NSW,Drive Away,Petrol,F Sport 2.4L SUV 4WD,1720827540,Drive,SUV,98370,1.051641761,1,Conventional
2023,Mazda,CX-60,71990,1004,QLD,Drive Away,Petrol,GT 3.3L SUV 4WD,1720826725,Drive,SUV,68550,1.050182349,1,Conventional
2022,Suzuki,Baleno,20990,23870,QLD,Drive Away,Petrol,1.4L Hatchback FWD,1714183737,Drive,OTHER,19990,1.050025013,2,Conventional
2020,Toyota,Corolla,32329,12766,ACT,Drive Away,Hybrid,Hybrid 1.8L Sedan FWD Hybrid,1719026928,Drive,OTHER,30795,1.049813281,4,Hybrid
2023,Audi,Q8 e-tron,174888,1501,VIC,Drive Away,Electric,Launch Edition SUV 4WD,1719638683,Drive,SUV,166600,1.049747899,1,Electric
2020,Toyota,Corolla,26657,70773,NSW,Drive Away,Petrol,2.0L Hatchback FWD,1712377798,Drive,OTHER,25395,1.049694822,4,Conventional
2023,BMW,i4,89999,1680,VIC,Drive Away,Electric,Hatchback RWD,1714181970,Drive,OTHER,85900,1.047718277,1,Electric
2023,BMW,i4,89999,1650,VIC,Drive Away,Electric,Hatchback RWD,1715394026,Drive,OTHER,85900,1.047718277,1,Electric
2023,BMW,i4,89999,1655,VIC,Drive Away,Electric,Hatchback RWD,1714787033,Drive,OTHER,85900,1.047718277,1,Electric
2019,Toyota,RAV4,43990,50744,QLD,Drive Away,Hybrid,2.5L SUV FWD Hybrid,1717824465,Drive,SUV,41990,1.047630388,5,Hybrid
2023,BMW,i4,89990,1668,VIC,Drive Away,Electric,Hatchback RWD,1720826525,Drive,OTHER,85900,1.047613504,1,Electric
2020,Toyota,RAV4,48482,36047,SA,*Excl. Govt. Charges,Hybrid,2.5L SUV 4WD Hybrid,1717824250,Drive,SUV,46290,1.04735364,4,Hybrid
2021,Lexus,UX,61888,24103,VIC,Drive Away,Hybrid,Sport Luxury 2.0L SUV FWD Hybrid,1715394310,Drive,SUV,59100,1.047174281,3,Hybrid
2021,Lexus,UX,61888,22431,VIC,Drive Away,Hybrid,Sport Luxury 2.0L SUV FWD Hybrid,1716008603,Drive,SUV,59100,1.047174281,3,Hybrid
2021,Porsche,Taycan,203840,8350,NSW,Drive Away,Electric,Sedan 4WD,1712977948,Drive,OTHER,194700,1.046944016,3,Electric
2023,BMW,i4,89900,3800,NSW,Drive Away,Electric,Hatchback RWD,1713580679,Drive,OTHER,85900,1.046565774,1,Electric
2020,Toyota,C-HR,33790,18712,VIC,*Excl. Govt. Charges,Petrol,1.2L SUV 4WD,1716008445,Drive,SUV,32290,1.046454011,4,Conventional
2023,BMW,i4,89888,1550,VIC,Drive Away,Electric,Hatchback RWD,1719638485,Drive,OTHER,85900,1.046426077,1,Electric
2023,Mazda,CX-60,76995,2950,QLD,Drive Away,Hybrid,Evolve 2.5L SUV 4WD Hybrid,1714182794,Drive,SUV,73600,1.046127717,1,Hybrid
2023,Mazda,CX-60,76950,643,VIC,Drive Away,Hybrid,Evolve 2.5L SUV 4WD Hybrid,1716008204,Drive,SUV,73600,1.045516304,1,Hybrid
2020,Hyundai,Kona,27800,43570,ACT,Drive Away,Petrol,2.0L SUV FWD,1712377995,Drive,SUV,26600,1.045112782,4,Conventional
2019,Toyota,Corolla,24545,74064,WA,Drive Away,Petrol,1.8L Sedan FWD,1711777191,Drive,OTHER,23490,1.044912729,5,Conventional
2019,Toyota,Corolla,24545,74038,WA,Drive Away,Petrol,1.8L Sedan FWD,1712977578,Drive,OTHER,23490,1.044912729,5,Conventional
