Year,Make,Model,Price,Location,Mileage,Fuel Type,URL
2023,Kia,Seltos,"$42,790Drive Away","Cleveland, QLD",NA,Petrol,drive.com.au/cars-for-sale/car/969493312/
2002,Nissan,Pulsar,"$6,986Drive Away","Kedron, QLD","165,430 km",Petrol,drive.com.au/cars-for-sale/car/969493385/
2023,Kia,Sportage,"$58,270Drive Away","Cleveland, QLD",27 km,Diesel,drive.com.au/cars-for-sale/car/969493313/
2023,Kia,Sportage,"$58,270Drive Away","Cleveland, QLD",NA,Diesel,drive.com.au/cars-for-sale/car/969493314/
2016,Nissan,X-TRAIL,"$21,990Drive Away","Aspley, QLD","80,898 km",Petrol,drive.com.au/cars-for-sale/car/969493425/
2023,Kia,Sportage,"$39,267Drive Away","Cleveland, QLD",NA,Petrol,drive.com.au/cars-for-sale/car/969493315/
2008,Hyundai,iLoad,"$16,990Drive Away","West Eagle Farm, QLD","200,626 km",Petrol,drive.com.au/cars-for-sale/car/969493438/
2023,Kia,Seltos,"$42,790Drive Away","Cleveland, QLD",NA,Petrol,drive.com.au/cars-for-sale/car/969493316/
2023,Mazda,CX-5,"$49,988Drive Away","Arncliffe, NSW",7 km,Petrol,drive.com.au/cars-for-sale/car/969493439/
2023,Kia,Seltos,"$42,790Drive Away","Cleveland, QLD",NA,Petrol,drive.com.au/cars-for-sale/car/969493317/
2023,LDV,MIFA,"$41,990Drive Away","Aspley, QLD","3,122 km",Petrol,drive.com.au/cars-for-sale/car/969493443/
2023,Kia,Seltos,"$42,790Drive Away","Cleveland, QLD",NA,Petrol,drive.com.au/cars-for-sale/car/969493318/
2023,Isuzu,MU-X,"$60,287Drive Away","Mt Gravatt, QLD",13 km,Diesel,drive.com.au/cars-for-sale/car/969493445/
2023,Kia,Sportage,"$58,270Drive Away","Cleveland, QLD",9 km,Diesel,drive.com.au/cars-for-sale/car/969493319/
2023,Isuzu,D-MAX,"$69,322Drive Away","Springwood, QLD",NA,Diesel,drive.com.au/cars-for-sale/car/969493454/
2023,Isuzu,MU-X,"$60,287Drive Away","Mt Gravatt, QLD",12 km,Diesel,drive.com.au/cars-for-sale/car/969493446/
2023,LDV,T60,"$43,990Drive Away","Cleveland, QLD",16 km,Diesel,drive.com.au/cars-for-sale/car/969493460/
2023,LDV,T60,"$43,990Drive Away","Springwood, QLD",15 km,Diesel,drive.com.au/cars-for-sale/car/969493457/
2023,Land,Rover Range Rover Sport,"$187,995Drive Away","Kirrawee, NSW","3,905 km",Diesel,drive.com.au/cars-for-sale/car/969493483/
2023,Kia,Seltos,"$42,790Drive Away","Cleveland, QLD",NA,Petrol,drive.com.au/cars-for-sale/car/969493320/
2021,MG,HS,"$21,620Drive Away","Wollongong, NSW","22,922 km",Petrol,drive.com.au/cars-for-sale/car/969493486/
2023,Kia,Seltos,"$36,190Drive Away","Cleveland, QLD",20 km,Petrol,drive.com.au/cars-for-sale/car/969493321/
2013,Ford,Falcon Ute,"$33,980Drive Away","Wollongong, NSW","85,216 km",Petrol,drive.com.au/cars-for-sale/car/969493496/
2023,Isuzu,D-MAX,"$66,094Drive Away","Springwood, QLD",NA,Diesel,drive.com.au/cars-for-sale/car/969493458/
2007,Mitsubishi,Express,"$10,999Drive Away",,"93,123 km",Petrol,drive.com.au/cars-for-sale/car/969493100/
2019,Nissan,Navara,"$45,205Drive Away","East Maitland NSW , NSW","42,600 km",Diesel,drive.com.au/cars-for-sale/car/969493080/
2017,Volkswagen,Amarok,"$33,888Drive Away","Bundoora, VIC","134,287 km",Diesel,drive.com.au/cars-for-sale/car/969493117/
2014,Nissan,Navara,"$23,990Drive Away","Moorooka , QLD","110,463 km",Diesel,drive.com.au/cars-for-sale/car/969493093/
2014,Honda,Odyssey,"$25,888Drive Away","Bundoora, VIC","130,180 km",Petrol,drive.com.au/cars-for-sale/car/969493120/
2008,Holden,Colorado,"$14,999Drive Away",,"255,298 km",Petrol,drive.com.au/cars-for-sale/car/969493095/
2023,GWM,Ute,"$34,990Drive Away","Mackay, QLD",15 km,Diesel,drive.com.au/cars-for-sale/car/969493143/
2016,Kia,Rio,"$15,244Drive Away","Phillip, ACT","65,990 km",Petrol,drive.com.au/cars-for-sale/car/969493113/
2014,Hyundai,i40,"$15,990Drive Away","Springwood , QLD","115,649 km",Petrol,drive.com.au/cars-for-sale/car/969493212/
2014,Honda,Odyssey,"$25,888Drive Away","Bundoora, VIC","130,180 km",Petrol,drive.com.au/cars-for-sale/car/969493115/
2020,Ford,Ranger,"$30,850Drive Away","Penrith, NSW","203,638 km",Diesel,drive.com.au/cars-for-sale/car/969493231/
2017,Volkswagen,Amarok,"$33,888Drive Away","Bundoora, VIC","134,287 km",Diesel,drive.com.au/cars-for-sale/car/969493118/
2022,Toyota,Hilux,"$61,000Drive Away","Penrith, NSW","17,860 km",Diesel,drive.com.au/cars-for-sale/car/969493232/
2018,Isuzu,D-MAX,"$29,820Drive Away","Penrith, NSW","146,771 km",Diesel,drive.com.au/cars-for-sale/car/969493235/
2015,Hyundai,i30,"$19,690Drive Away","Elizabeth, SA","41,064 km",Petrol,drive.com.au/cars-for-sale/car/969493125/
2022,Kia,Sportage,"$39,998Drive Away","Kedron, QLD","16,675 km",Diesel,drive.com.au/cars-for-sale/car/969493259/
2023,Kia,Seltos,"$47,880Drive Away","Windsor, QLD",12 km,Petrol,drive.com.au/cars-for-sale/car/969493133/
2023,Kia,Sorento,"$57,785Drive Away","Cleveland, QLD",NA,Diesel,drive.com.au/cars-for-sale/car/969493322/
2023,Kia,Sportage,"$55,162Drive Away","Cleveland, QLD",NA,Petrol,drive.com.au/cars-for-sale/car/969493323/
2023,GWM,Ute,"$51,085Drive Away","Mackay, QLD",15 km,Diesel,drive.com.au/cars-for-sale/car/969493142/
2017,Mazda,BT-50,"$34,814Drive Away","Phillip, ACT","134,458 km",Diesel,drive.com.au/cars-for-sale/car/969493144/
2016,Toyota,Corolla,"$17,990Drive Away","Hillcrest , QLD","105,280 km",Petrol,drive.com.au/cars-for-sale/car/969493160/
2014,Hyundai,Santa Fe,"$22,990*Excl. Govt. Charges","Albion Park Rail, NSW","137,625 km",Diesel,drive.com.au/cars-for-sale/car/969493162/
2009,Volkswagen,Caddy,"$11,490*Excl. Govt. Charges","Morley, WA","172,656 km",Diesel,drive.com.au/cars-for-sale/car/969493185/
2022,Volkswagen,Touareg,"$103,880Drive Away","Ringwood, VIC","8,000 km",Diesel,drive.com.au/cars-for-sale/car/969493210/
2023,Kia,Sorento,"$53,990Drive Away","Springwood , QLD","17,021 km",Diesel,drive.com.au/cars-for-sale/car/969493211/
2018,Lexus,LS,"$79,898*Excl. Govt. Charges","Canning Vale, WA","80,650 km",Petrol,drive.com.au/cars-for-sale/car/969493226/
2016,Mazda,CX-5,"$17,460Drive Away","Penrith, NSW","160,254 km",Diesel,drive.com.au/cars-for-sale/car/969493230/
2007,Jaguar,XKR,"$77,884Drive Away","Albion, QLD","92,740 km",Petrol,drive.com.au/cars-for-sale/car/969493236/
2023,Mazda,BT-50,"$64,997Drive Away","Liverpool, NSW",10 km,Diesel,drive.com.au/cars-for-sale/car/969493245/
2020,Mitsubishi,Triton,"$27,999Drive Away","Chermside, QLD","69,824 km",Diesel,drive.com.au/cars-for-sale/car/969493252/
2008,Mazda,3,"$11,367Drive Away","Kedron, QLD","117,599 km",Petrol,drive.com.au/cars-for-sale/car/969493257/
2013,Toyota,RAV4,"$25,740Drive Away","Artarmon, NSW","86,374 km",Petrol,drive.com.au/cars-for-sale/car/969493284/
2018,Kia,Carnival,"$36,990Drive Away","Ringwood, VIC","47,000 km",Diesel,drive.com.au/cars-for-sale/car/969493306/
2014,Subaru,XV,"$22,490Drive Away","Midland, WA","84,000 km",Petrol,drive.com.au/cars-for-sale/car/969493042/
2023,LDV,Deliver 9,"$48,490Drive Away","Springwood, QLD",12 km,Diesel,drive.com.au/cars-for-sale/car/969493014/
2016,INFINITI,Q70,"$25,677Drive Away","Midland, WA","78,411 km",Petrol,drive.com.au/cars-for-sale/car/969493043/
2023,Kia,Cerato,"$34,490Drive Away","Cleveland, QLD",NA,Petrol,drive.com.au/cars-for-sale/car/969493069/
2022,SKODA,Kodiaq,"$42,115Drive Away","Artarmon, NSW","12,166 km",Petrol,drive.com.au/cars-for-sale/car/969493019/
2023,Kia,Cerato,"$39,790Drive Away","Cleveland, QLD",NA,Petrol,drive.com.au/cars-for-sale/car/969493070/
2023,Kia,Cerato,"$39,790Drive Away","Cleveland, QLD",NA,Petrol,drive.com.au/cars-for-sale/car/969493071/
2023,Kia,Sorento,"$60,806Drive Away","Cleveland, QLD",NA,Diesel,drive.com.au/cars-for-sale/car/969493073/
2022,Kia,Stonic,"$23,631Drive Away","Gosnells, WA","28,729 km",Petrol,drive.com.au/cars-for-sale/car/969493008/
2023,Kia,Picanto,"$23,490Drive Away","Cleveland, QLD",NA,Petrol,drive.com.au/cars-for-sale/car/969493074/
2023,Kia,Sorento,"$73,390Drive Away","Cleveland, QLD",21 km,Diesel,drive.com.au/cars-for-sale/car/969493075/
2023,LDV,Deliver 9,"$48,490Drive Away","Springwood, QLD",21 km,Diesel,drive.com.au/cars-for-sale/car/969493012/
2023,Kia,Sorento,"$72,690Drive Away","Cleveland, QLD",NA,Diesel,drive.com.au/cars-for-sale/car/969493078/
2018,Toyota,Corolla,"$27,687Drive Away","Pennant Hills, NSW","10,916 km",Petrol,drive.com.au/cars-for-sale/car/969492994/
2022,SKODA,Kodiaq,"$42,115Drive Away","Artarmon, NSW","11,520 km",Petrol,drive.com.au/cars-for-sale/car/969493018/
2018,Toyota,Corolla,"$24,719Drive Away","Pennant Hills, NSW","66,894 km",Petrol,drive.com.au/cars-for-sale/car/969492995/
2018,Mazda,CX-5,"$29,990Drive Away","Ringwood, VIC","106,942 km",Diesel,drive.com.au/cars-for-sale/car/969493030/
2023,Isuzu,MU-X,"$53,890*Excl. Govt. Charges","Maddington, WA",10 km,Diesel,drive.com.au/cars-for-sale/car/969493035/
2019,Toyota,Kluger,"$45,197Drive Away","Pennant Hills, NSW","52,690 km",Petrol,drive.com.au/cars-for-sale/car/969492997/
2016,Honda,Civic,"$26,744Drive Away","Midland, WA","90,140 km",Petrol,drive.com.au/cars-for-sale/car/969493038/
2018,Toyota,RAV4,"$34,897Drive Away","Pennant Hills, NSW","31,183 km",Petrol,drive.com.au/cars-for-sale/car/969492998/
2022,Ford,Transit Custom,"$58,990*Excl. Govt. Charges","Midland, WA","24,884 km",Diesel,drive.com.au/cars-for-sale/car/969493045/
2018,Toyota,Camry,"$30,899Drive Away","Pennant Hills, NSW","39,993 km",Petrol,drive.com.au/cars-for-sale/car/969492999/
2022,Ford,Transit Custom,"$58,990*Excl. Govt. Charges","Midland, WA","24,884 km",Diesel,drive.com.au/cars-for-sale/car/969493051/
2021,Subaru,Forester,"$40,055Drive Away","Artarmon, NSW","13,784 km",Petrol,drive.com.au/cars-for-sale/car/969493022/
2019,Jaguar,F-PACE,"$117,690Drive Away","Port Melbourne  , VIC","43,431 km",Petrol,drive.com.au/cars-for-sale/car/969493062/
2022,SKODA,Kodiaq,"$42,115Drive Away","Artarmon, NSW","12,992 km",Petrol,drive.com.au/cars-for-sale/car/969493023/
2020,Volvo,XC60,"$49,990Drive Away","Springwood , QLD","88,365 km",Diesel,drive.com.au/cars-for-sale/car/969493065/
2022,SKODA,Karoq,"$44,175Drive Away","Artarmon, NSW","3,146 km",Petrol,drive.com.au/cars-for-sale/car/969493024/
2020,Ford,Ranger,"$46,454Drive Away","Midland, WA","96,000 km",Diesel,drive.com.au/cars-for-sale/car/969493040/
2016,Honda,Civic,"$20,900Drive Away","Robina, QLD","102,455 km",Petrol,drive.com.au/cars-for-sale/car/969493004/
2017,Hyundai,iLoad,"$31,040Drive Away","Maddington, WA","108,969 km",Diesel,drive.com.au/cars-for-sale/car/969492811/
2016,Mitsubishi,Outlander,"$24,990Drive Away","Robina, QLD","86,093 km",Petrol,drive.com.au/cars-for-sale/car/969493006/
2024,Volkswagen,Crafter,"$74,690Drive Away","Geelong, VIC",15 km,Diesel,drive.com.au/cars-for-sale/car/969492721/
2023,Toyota,Hiace,"$65,921Drive Away","Maddington, WA",24 km,Diesel,drive.com.au/cars-for-sale/car/969492818/
2013,Holden,Special Vehicles Maloo,"$69,194Drive Away","Maddington, WA","95,656 km",Petrol,drive.com.au/cars-for-sale/car/969492819/
2019,Toyota,Yaris,"$24,990Drive Away","Ringwood, VIC","48,000 km",Petrol,drive.com.au/cars-for-sale/car/969492727/
2014,Holden,Commodore,"$40,160Drive Away","Hamilton, NSW","63,700 km",Petrol,drive.com.au/cars-for-sale/car/969492918/
2014,Chrysler,300,"$36,485Drive Away","Maddington, WA","72,565 km",Petrol,drive.com.au/cars-for-sale/car/969492802/
2023,Nissan,Patrol,"$102,990Drive Away","Caboolture, QLD",NA,Petrol,drive.com.au/cars-for-sale/car/969492934/
2022,Mazda,CX-9,"$51,590Drive Away","Hamilton, NSW","42,377 km",Petrol,drive.com.au/cars-for-sale/car/969492916/
2012,Holden,Special Vehicles GTS,"$87,320Drive Away","Maddington, WA","95,146 km",Petrol,drive.com.au/cars-for-sale/car/969492822/
2021,BMW,X3,"$71,888Drive Away","Adelaide, SA","25,321 km",Petrol,drive.com.au/cars-for-sale/car/969492927/
2019,Jaguar,F-PACE,"$105,193Drive Away","Maddington, WA","45,886 km",Petrol,drive.com.au/cars-for-sale/car/969492871/
2019,Maserati,Ghibli,"$106,381Drive Away","Maddington, WA","18,896 km",Petrol,drive.com.au/cars-for-sale/car/969492880/
2023,Nissan,Patrol,"$102,990Drive Away","Caboolture, QLD",NA,Petrol,drive.com.au/cars-for-sale/car/969492933/
2010,Holden,Special Vehicles Clubsport,"$58,564Drive Away","Maddington, WA","105,000 km",Petrol,drive.com.au/cars-for-sale/car/969492881/
2023,GWM,Haval H6GT,"$43,990Drive Away","Mackay, QLD",15 km,Petrol,drive.com.au/cars-for-sale/car/969492940/
2022,RAM,1500,"$143,765Drive Away","Maddington, WA","36,199 km",Petrol,drive.com.au/cars-for-sale/car/969492886/
2014,Volkswagen,Tiguan,"$16,990Drive Away","Moorooka , QLD","88,078 km",Petrol,drive.com.au/cars-for-sale/car/969492943/
2023,Nissan,Patrol,"$93,490Drive Away","Caboolture, QLD",NA,Petrol,drive.com.au/cars-for-sale/car/969492935/
2020,Mercedes-Benz,C-Class,"$55,790Drive Away","North Narrabeen , NSW","40,444 km",Petrol,drive.com.au/cars-for-sale/car/969492946/
2023,Nissan,Patrol,"$93,490Drive Away","Caboolture, QLD",NA,Petrol,drive.com.au/cars-for-sale/car/969492936/
2017,Jaguar,XE,"$33,215Drive Away","Welshpool, WA","71,469 km",Petrol,drive.com.au/cars-for-sale/car/969492948/
2023,Nissan,Patrol,"$93,490Drive Away","Caboolture, QLD",NA,Petrol,drive.com.au/cars-for-sale/car/969492937/
2023,Ford,Escape,"$48,711Drive Away","Edgewater, WA","4,391 km",Petrol,drive.com.au/cars-for-sale/car/969492965/
2023,Nissan,Patrol,"$102,990Drive Away","Caboolture, QLD",NA,Petrol,drive.com.au/cars-for-sale/car/969492938/
2023,Kia,Sportage,"$59,990Drive Away",QLD,18 km,Diesel,drive.com.au/cars-for-sale/car/969492967/
2023,Nissan,Patrol,"$92,990Drive Away","Caboolture, QLD",NA,Petrol,drive.com.au/cars-for-sale/car/969492939/
2022,Jeep,Compass,"$31,950*Excl. Govt. Charges","Morley, WA","56,201 km",Petrol,drive.com.au/cars-for-sale/car/969492973/
2023,GWM,Tank 300,"$51,585Drive Away","Mackay, QLD",15 km,Petrol,drive.com.au/cars-for-sale/car/969492941/
2016,Ford,Transit Custom,"$30,777Drive Away","Chatswood, NSW","133,756 km",Diesel,drive.com.au/cars-for-sale/car/969492981/
2023,GWM,Tank 300,"$51,585Drive Away","Mackay, QLD",15 km,Petrol,drive.com.au/cars-for-sale/car/969492942/
2017,Audi,A3,"$27,790Drive Away","Cairns, QLD","63,725 km",Petrol,drive.com.au/cars-for-sale/car/969492985/
2023,CUPRA,Formentor,"$68,990Drive Away","Artarmon, NSW","2,133 km",Petrol,drive.com.au/cars-for-sale/car/969492600/
2018,Mercedes-Benz,Valente,"$52,800Drive Away","Berwick, VIC","87,329 km",Diesel,drive.com.au/cars-for-sale/car/969492585/
2023,Isuzu,D-MAX,"$59,328Drive Away","Mt Gravatt, QLD",11 km,Diesel,drive.com.au/cars-for-sale/car/969492604/
2023,CUPRA,Formentor,"$66,990Drive Away","Artarmon, NSW","5,437 km",Petrol,drive.com.au/cars-for-sale/car/969492599/
2014,Mercedes-Benz,S-Class,"$62,800Drive Away","Berwick, VIC","76,998 km",Diesel,drive.com.au/cars-for-sale/car/969492588/
2023,Isuzu,D-MAX,"$49,443Drive Away","Mt Gravatt, QLD",13 km,Diesel,drive.com.au/cars-for-sale/car/969492603/
2019,Mercedes-Benz,GLE-Class,"$88,800Drive Away","Berwick, VIC","81,000 km",Diesel,drive.com.au/cars-for-sale/car/969492591/
2017,INFINITI,Q30,"$23,990Drive Away",QLD,"57,282 km",Petrol,drive.com.au/cars-for-sale/car/969492605/
2023,CUPRA,Leon,"$49,990Drive Away","Artarmon, NSW","1,000 km",Petrol,drive.com.au/cars-for-sale/car/969492601/
2018,Isuzu,D-MAX,"$46,340Drive Away","Rockdale , NSW","79,432 km",Diesel,drive.com.au/cars-for-sale/car/969492623/
2023,CUPRA,Leon,"$48,990Drive Away","Artarmon, NSW","3,110 km",Petrol,drive.com.au/cars-for-sale/car/969492602/
2022,Mercedes-Benz,A-Class,"$58,800Drive Away","Berwick, VIC","4,219 km",Petrol,drive.com.au/cars-for-sale/car/969492648/
2021,Toyota,C-HR,"$37,060Drive Away","Stuart Park, NT","58,396 km",Petrol,drive.com.au/cars-for-sale/car/969492633/
2013,Kia,Rio,"$9,990Drive Away","Brendale, QLD","115,485 km",Petrol,drive.com.au/cars-for-sale/car/969492684/
2022,Mercedes-Benz,E-Class,"$79,800Drive Away","Berwick, VIC","25,071 km",Petrol,drive.com.au/cars-for-sale/car/969492643/
2021,Toyota,C-HR,"$37,060Drive Away","Stuart Park, NT","52,173 km",Petrol,drive.com.au/cars-for-sale/car/969492634/
2023,Volkswagen,Polo,"$40,620Drive Away","Hawthorn , VIC",5 km,Petrol,drive.com.au/cars-for-sale/car/969492653/
2022,Toyota,RAV4,"$41,180Drive Away","Stuart Park, NT","54,904 km",Petrol,drive.com.au/cars-for-sale/car/969492635/
2017,Ford,Ranger,"$29,519Drive Away","Hamilton, NSW","168,198 km",Diesel,drive.com.au/cars-for-sale/car/969492658/
2023,Suzuki,Jimny,"$38,220Drive Away","Nundah, QLD",18 km,Petrol,drive.com.au/cars-for-sale/car/969492666/
2022,Mercedes-Benz,A-Class,"$58,800Drive Away","Berwick, VIC","2,801 km",Petrol,drive.com.au/cars-for-sale/car/969492649/
2015,Mitsubishi,ASX,"$17,990Drive Away","Nunawading , VIC","97,083 km",Petrol,drive.com.au/cars-for-sale/car/969492668/
2023,Mercedes-Benz,A-Class,"$69,800Drive Away","Berwick, VIC","10,937 km",Petrol,drive.com.au/cars-for-sale/car/969492650/
2017,Nissan,Navara,"$33,980Drive Away","West Ryde, NSW","97,213 km",Diesel,drive.com.au/cars-for-sale/car/969492674/
2019,Holden,Colorado,"$37,070Drive Away","Erina, NSW","32,112 km",Diesel,drive.com.au/cars-for-sale/car/969492691/
2022,Mazda,BT-50,"$62,330Drive Away","Elizabeth, SA","53,000 km",Diesel,drive.com.au/cars-for-sale/car/969492679/
2019,Mazda,CX-3,"$23,680Drive Away","Erina, NSW","65,440 km",Petrol,drive.com.au/cars-for-sale/car/969492694/
2005,Mitsubishi,Triton,"$10,995Drive Away","Brendale, QLD","260,657 km",Diesel,drive.com.au/cars-for-sale/car/969492683/
2019,Holden,Colorado,"$36,040Drive Away","Erina, NSW","57,152 km",Diesel,drive.com.au/cars-for-sale/car/969492690/
2023,Mercedes-Benz,CLA-Class,"$67,800Drive Away","Berwick, VIC","14,484 km",Petrol,drive.com.au/cars-for-sale/car/969492702/
2018,Mazda,CX-9,"$35,010Drive Away","Erina, NSW","71,784 km",Petrol,drive.com.au/cars-for-sale/car/969492696/
2023,Volkswagen,Amarok,"$60,007Drive Away","Hawthorn , VIC",12 km,Diesel,drive.com.au/cars-for-sale/car/969492707/
2021,Honda,CR-V,"$37,070Drive Away","Erina, NSW","65,156 km",Petrol,drive.com.au/cars-for-sale/car/969492697/
2012,Mitsubishi,ASX,"$15,888Drive Away",QLD,"223,803 km",Petrol,drive.com.au/cars-for-sale/car/969492714/
2019,Volkswagen,Caddy,"$36,984*Excl. Govt. Charges","Bentley , WA","52,214 km",Petrol,drive.com.au/cars-for-sale/car/969492392/
2019,Isuzu,MU-X,"$39,980*Excl. Govt. Charges","Canning Vale, WA","115,593 km",Diesel,drive.com.au/cars-for-sale/car/969492421/
2021,MG,HS,"$29,990Drive Away","Brisbane, QLD","24,364 km",Petrol,drive.com.au/cars-for-sale/car/969492513/
2021,Toyota,Yaris,"$19,990*Excl. Govt. Charges","Gosnells, WA","61,923 km",Petrol,drive.com.au/cars-for-sale/car/969492446/
2022,GWM,Ute,"$37,990*Excl. Govt. Charges","Canning Vale, WA","20,133 km",Diesel,drive.com.au/cars-for-sale/car/969492424/
2023,Ford,Ranger,"$105,316Drive Away","Wangara, WA","1,933 km",Petrol,drive.com.au/cars-for-sale/car/969492447/
2019,Suzuki,Ignis,"$19,990*Excl. Govt. Charges","Canning Vale, WA","54,695 km",Petrol,drive.com.au/cars-for-sale/car/969492431/
2013,Toyota,Landcruiser Prado,"$38,990*Excl. Govt. Charges","Midland, WA","194,000 km",Diesel,drive.com.au/cars-for-sale/car/969492467/
2022,Toyota,Hilux,"$33,888*Excl. Govt. Charges","Canning Vale, WA","37,423 km",Petrol,drive.com.au/cars-for-sale/car/969492432/
2013,Toyota,Landcruiser Prado,"$38,990*Excl. Govt. Charges","Midland, WA","194,000 km",Diesel,drive.com.au/cars-for-sale/car/969492482/
2019,Mitsubishi,Triton,"$39,990*Excl. Govt. Charges","Canning Vale, WA","73,877 km",Diesel,drive.com.au/cars-for-sale/car/969492433/
2019,MINI,Hatch,"$39,980*Excl. Govt. Charges","Canning Vale, WA","72,820 km",Petrol,drive.com.au/cars-for-sale/car/969492434/
2018,Mitsubishi,Outlander,"$23,990Drive Away","Aspley, QLD","94,729 km",Petrol,drive.com.au/cars-for-sale/car/969492510/
2022,Ford,Ranger,"$75,880*Excl. Govt. Charges","Canning Vale, WA","14,774 km",Diesel,drive.com.au/cars-for-sale/car/969492437/
2021,MG,HS,"$29,990Drive Away","Brisbane, QLD","27,710 km",Petrol,drive.com.au/cars-for-sale/car/969492511/
2018,Mitsubishi,Pajero,"$45,888*Excl. Govt. Charges","Canning Vale, WA","151,950 km",Diesel,drive.com.au/cars-for-sale/car/969492438/
2023,Hyundai,i30,"$44,270Drive Away","Windsor, QLD",12 km,Petrol,drive.com.au/cars-for-sale/car/969492518/
2008,Ford,Falcon,"$24,990*Excl. Govt. Charges","Canning Vale, WA","165,199 km",Petrol,drive.com.au/cars-for-sale/car/969492439/
2022,MG,ZST,"$25,990Drive Away","Brighton East, VIC","23,000 km",Petrol,drive.com.au/cars-for-sale/car/969492521/
2018,Porsche,Cayenne,"$110,990*Excl. Govt. Charges","Canning Vale, WA","47,279 km",Petrol,drive.com.au/cars-for-sale/car/969492441/
2017,Toyota,RAV4,"$24,990*Excl. Govt. Charges","Canning Vale, WA","154,347 km",Diesel,drive.com.au/cars-for-sale/car/969492442/
2023,Hyundai,Kona,"$47,490Drive Away","Hayborough, SA","6,591 km",Petrol,drive.com.au/cars-for-sale/car/969492537/
2023,Hyundai,i30,"$53,560Drive Away","Windsor, QLD",12 km,Petrol,drive.com.au/cars-for-sale/car/969492520/
2017,Audi,A3,"$27,604Drive Away","PARRAMATTA, NSW","78,202 km",Petrol,drive.com.au/cars-for-sale/car/969492539/
2014,Mazda,BT-50,"$30,785Drive Away","East Maitland NSW , NSW","112,120 km",Diesel,drive.com.au/cars-for-sale/car/969492553/
2023,Chery,OMODA 5,"$29,860Drive Away","Port Macquarie , NSW","8,326 km",Petrol,drive.com.au/cars-for-sale/car/969492560/
2007,Ferrari,599 Fiorano,"$381,490Drive Away","Port Melbourne  , VIC","12,810 km",Petrol,drive.com.au/cars-for-sale/car/969492567/
2019,RAM,1500,"$96,740Drive Away","Port Macquarie , NSW","41,552 km",Petrol,drive.com.au/cars-for-sale/car/969492563/
2019,Mazda,3,"$27,950Drive Away","Mulgrave, VIC","44,684 km",Petrol,drive.com.au/cars-for-sale/car/969492571/
2023,Kia,Stonic,"$33,025Drive Away","Callemondah, QLD",5 km,Petrol,drive.com.au/cars-for-sale/car/969492572/
2016,Hyundai,Tucson,"$18,990Drive Away","Brisbane, QLD","168,861 km",Petrol,drive.com.au/cars-for-sale/car/969492578/
2017,Ford,Ranger,"$45,547Drive Away","Mile End South, SA","83,050 km",Diesel,drive.com.au/cars-for-sale/car/969492188/
2017,Nissan,Navara,"$20,547Drive Away","Edgewater, WA","203,655 km",Diesel,drive.com.au/cars-for-sale/car/969492182/
2023,Nissan,Patrol,"$102,990Drive Away","Caboolture, QLD",9 km,Petrol,drive.com.au/cars-for-sale/car/969492194/
2020,Nissan,X-TRAIL,"$31,103Drive Away","Mile End South, SA","46,595 km",Petrol,drive.com.au/cars-for-sale/car/969492187/
2023,Nissan,Patrol,"$102,990Drive Away","Caboolture, QLD",13 km,Petrol,drive.com.au/cars-for-sale/car/969492195/
2018,Suzuki,Swift,"$21,664Drive Away","Salisbury Park, SA","28,388 km",Petrol,drive.com.au/cars-for-sale/car/969492189/
2019,Mazda,6,"$24,990*Excl. Govt. Charges","Gosnells, WA","94,012 km",Petrol,drive.com.au/cars-for-sale/car/969492361/
2023,Nissan,Patrol,"$102,990Drive Away","Caboolture, QLD",9 km,Petrol,drive.com.au/cars-for-sale/car/969492193/
2021,Ford,Ranger,"$63,990*Excl. Govt. Charges","Gosnells, WA","7,000 km",Diesel,drive.com.au/cars-for-sale/car/969492379/
2012,Ford,Ranger,"$15,402Drive Away","Bayswater, WA","172,752 km",Diesel,drive.com.au/cars-for-sale/car/969492197/
2021,Mitsubishi,Mirage,"$17,990Drive Away","Caboolture, QLD","53,149 km",Petrol,drive.com.au/cars-for-sale/car/969492196/
2009,Ferrari,California,"$217,871Drive Away","Port Melbourne  , VIC","47,149 km",Petrol,drive.com.au/cars-for-sale/car/969492222/
2022,GWM,Ute,"$37,990*Excl. Govt. Charges","Canning Vale, WA","20,133 km",Diesel,drive.com.au/cars-for-sale/car/969492424/
2021,Volkswagen,Amarok,"$51,590Drive Away","Dubbo , NSW","37,389 km",Diesel,drive.com.au/cars-for-sale/car/969492239/
2021,Volkswagen,Polo,"$34,990*Excl. Govt. Charges","Canning Vale, WA","13,609 km",Petrol,drive.com.au/cars-for-sale/car/969492425/
2023,GWM,Haval Jolion,"$26,485Drive Away","Kunda Park, QLD",22 km,Petrol,drive.com.au/cars-for-sale/car/969492246/
2020,Jeep,Gladiator,"$62,990*Excl. Govt. Charges","Canning Vale, WA","44,155 km",Petrol,drive.com.au/cars-for-sale/car/969492426/
2023,Volkswagen,Tiguan,"$66,553Drive Away","Fairfield, VIC",20 km,Diesel,drive.com.au/cars-for-sale/car/969492260/
2020,Ford,Ranger,"$46,888*Excl. Govt. Charges","Canning Vale, WA","85,348 km",Diesel,drive.com.au/cars-for-sale/car/969492427/
2021,Isuzu,MU-X,"$41,990*Excl. Govt. Charges","Canning Vale, WA","49,826 km",Diesel,drive.com.au/cars-for-sale/car/969492428/
